t shear free
 0.6325 0.9972388 0.9967587999999999
 0.6349999999999999 0.9974736 0.9970155000000001
 0.6375 0.9976978 0.9972619
 0.6399999999999999 0.9979115 0.9974978
 0.6425 0.9981954 0.997723
 0.6449999999999999 0.9983787 0.9979376
 0.6475 0.9985551 0.9981414
 0.6499999999999999 0.998722 0.9983341999999999
 0.6525 0.9988785999999999 0.998516
 0.6549999999999999 0.9990245 0.9986868
 0.6575 0.9991594 0.9988464
 0.6599999999999999 0.9992835 0.9989949
 0.6625 0.9993967 0.9991323
 0.6649999999999999 0.9994991 0.9992587000000001
 0.6675 0.9995911 0.9993741
 0.6699999999999999 0.999703 0.9995146
 0.6725 0.9997683000000001 0.9996080000000001
 0.6749999999999999 0.9998267 0.9996936
 0.6775 0.999876 0.9997684999999999
 0.6799999999999999 0.999916 0.9998321999999999
 0.6825 0.9999472 0.9998846
 0.6849999999999999 1 0.9999262
 0.6875 1 0.9999575000000001
 0.6899999999999999 1 0.9999794
 0.6924999999999999 1 1
 0.695 1 1
 0.6974999999999999 1 1
 0.7 1 1
 0.7024999999999999 1 1
 0.705 1 1
 0.7074999999999999 1 1
 0.71 1 1
 0.7124999999999999 1 1
 0.715 1 1
 0.7174999999999999 1 1
 0.72 1 1
 0.7224999999999999 1 1
 0.725 1 1
 0.7274999999999999 1 1
 0.73 1 1
 0.7324999999999999 1 1
 0.735 1 1
 0.7374999999999999 1 1
 0.74 1 1
 0.7424999999999999 1 1
 0.745 1 1
 0.7474999999999999 1 1
 0.75 1 1
 0.7524999999999999 1 1
 0.7549999999999999 1 1
 0.7575 1 1
 0.7599999999999999 1 1
 0.7625 1 1
 0.7649999999999999 1 1
 0.7675 1 1
 0.7699999999999999 1 1
 0.7725 1 1
 0.7749999999999999 1 1
 0.7775 1 1
 0.7799999999999999 1 1
 0.7825 1 1
 0.7849999999999999 1 1
 0.7875 1 1
 0.7899999999999999 1 1
 0.7925 1 1
 0.7949999999999999 1 1
 0.7975 1 1
 0.7999999999999999 1 1
 0.8025 1 1
 0.8049999999999999 1 1
 0.8075 1 1
 0.8099999999999999 1 1
 0.8125 1 1
 0.8149999999999999 1 1
 0.8174999999999999 1 1
 0.82 1 1
 0.8224999999999999 1 1
 0.825 1 1
 0.8274999999999999 1 1
 0.83 1 1
 0.8324999999999999 1 1
 0.835 1 1
 0.8374999999999999 1 1
 0.84 1 1
 0.8424999999999999 1 1
 0.845 1 1
 0.8474999999999999 1 1
 0.85 1 1
 0.8524999999999999 1 1
 0.855 1 1
 0.8574999999999999 1 1
 0.86 1 1
 0.8624999999999999 1 1
 0.865 1 1
 0.8674999999999999 1 1
 0.87 1 1
 0.8724999999999999 1 1
 0.875 1 1
 0.8774999999999999 1 1
 0.8799999999999999 1 1
 0.8825 1 1
 0.8849999999999999 1 1
 0.8875 1 1
 0.8899999999999999 1 1
 0.8925 1 1
 0.8949999999999999 1 1
 0.8975 1 1
 0.8999999999999999 1 1
 0.9025 1 1
 0.9049999999999999 1 1
 0.9075 1 1
 0.9099999999999999 1 1
 0.9125 1 1
 0.9149999999999999 1 1
 0.9175 1 1
 0.9199999999999999 1 1
 0.9225 1 1
 0.9249999999999999 1 1
 0.9275 1 1
 0.9299999999999999 1 1
 0.9325 1 1
 0.9349999999999999 1 1
 0.9375 1 1
 0.9399999999999999 1 1
 0.9424999999999999 1 1
 0.945 1 1
 0.9474999999999999 1 1
 0.95 1 1
 0.9524999999999999 1 1
 0.955 1 1
 0.9574999999999999 1 1
 0.96 1 1
 0.9624999999999999 1 1
 0.965 1 1
 0.9674999999999999 1 1
 0.97 1 1
 0.9724999999999999 1 1
 0.975 1 1
 0.9774999999999999 1 1
 0.98 1 1
 0.9824999999999999 1 1
 0.985 1 1
 0.9874999999999999 1 1
 0.99 1 1
 0.9924999999999999 1 1
 0.995 1 1
 0.9974999999999999 1 1
 1 1 1


